unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230220,2023-02-20T05:20:41, -3.103,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -3.003,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.900,  0.103,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.800,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.699,  0.101,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.600,  0.099,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.500,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.400,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.299,  0.101,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.200,  0.099,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:42, -2.100,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -2.000,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.900,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.800,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.700,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.600,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.500,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.400,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.300,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.200,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:43, -1.100,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -1.000,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.900,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.800,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.700,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.600,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.500,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.400,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.300,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.200,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:44, -0.100,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.000,  0.100,0,0,247, 25.000, 13.170,  0.000,  0.000, 13.170, 13.850,  0.000, 13.170, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.100,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.000, 13.170, 13.850,  0.691, 12.479, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.200,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.000, 13.170, 13.850,  0.692, 12.478, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.300,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.000, 13.170, 13.850,  0.693, 12.477, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.400,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.001, 13.170, 13.850,  0.694, 12.476, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.500,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.001, 13.170, 13.850,  0.695, 12.474, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.600,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.001, 13.170, 13.850,  0.696, 12.473, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.700,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.001, 13.170, 13.850,  0.698, 12.472, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.800,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.002, 13.170, 13.850,  0.699, 12.471, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:45,  0.900,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.002, 13.170, 13.850,  0.700, 12.469, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.000,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.002, 13.170, 13.850,  0.701, 12.468, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.100,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.002, 13.170, 13.850,  0.702, 12.467, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.200,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.003, 13.170, 13.850,  0.703, 12.466, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.300,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.003, 13.170, 13.850,  0.704, 12.464, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.400,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.003, 13.170, 13.850,  0.705, 12.463, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.500,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.003, 13.170, 13.850,  0.707, 12.462, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.600,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.004, 13.170, 13.850,  0.708, 12.461, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.701,  0.101,0,0,247, 25.000, 13.170, 50.000,  0.004, 13.170, 13.850,  0.709, 12.460, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.800,  0.099,0,0,247, 25.000, 13.170, 50.000,  0.004, 13.170, 13.850,  0.710, 12.458, 13.170,  0.000,  0.500,  0.500,  0.500,
mon_rep230220,2023-02-20T05:20:46,  1.900,  0.100,0,0,247, 25.000, 13.170, 50.000,  0.004, 13.170, 13.850,  0.711, 12.457, 13.170,  0.000,  0.500,  0.500,  0.500,
