unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T00:46:18,      1565.926, 0.111,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.037, 0.105,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.142, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.242, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.342, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.442, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.542, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.642, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.742, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.842, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:19,      1566.942, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:20,      1567.042, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro1a_20230219, 1970-01-01T00:46:20,      1567.142, 0.100,   0,  360000, 0,  1,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
