unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-03-06T10:48:52,  71764509.289, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:52,  71764509.389, 0.103,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:52,  71764509.492, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:52,  71764509.592, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:52,  71764509.692, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:53,  71764509.792, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:53,  71764509.892, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:53,  71764509.992, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:53,  71764510.092, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
pro0p_20230219, 2023-03-06T10:48:53,  71764510.192, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.204,     0.000,     0.000,     0.000,13.20368,    13.80000,0.00000,13.20368,13.20368,   0.000000, 0.59750,0.59750,0.59750,
