fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 1970-01-01T01:19:43, 4783,   0.000,  13.085,   0.000,   0.000,  24.993,  13.085,  49.952,  0.4999,  0.4999,  13.095,  13.095,   0.003, 0, 0,
unit_f, 1970-01-01T01:19:52, 4792,   0.000,  13.064,   0.000,   0.000,  24.980,  13.064,  50.015,  0.5014,  0.5013,  12.785,  12.665,   0.320, 384, 256,
unit_f, 1970-01-01T01:20:02, 4802,   0.000,  13.094,   0.000,   0.000,  24.978,  13.094,  49.900,  0.5028,  0.5026,  12.762,  12.546,   0.473, 416, 256,
unit_f, 1970-01-01T01:20:05, 4805,   0.000,  13.087,   0.000,   0.000,  24.992,  13.087,   1.000,  0.5032,  0.5031,  12.745,  12.498,   0.524, 416, 288,
unit_f, 1970-01-01T01:19:43, 4783,   0.000,  13.085,   0.000,   0.000,  24.993,  13.085,  49.952,  0.4999,  0.4999,  13.095,  13.095,   0.003, 0, 0,
unit_f, 1970-01-01T01:19:52, 4792,   0.000,  13.064,   0.000,   0.000,  24.980,  13.064,  50.015,  0.5014,  0.5013,  12.785,  12.665,   0.320, 384, 256,
unit_f, 1970-01-01T01:20:02, 4802,   0.000,  13.094,   0.000,   0.000,  24.978,  13.094,  49.900,  0.5028,  0.5026,  12.762,  12.546,   0.473, 416, 256,
unit_f, 1970-01-01T01:20:05, 4805,   0.000,  13.087,   0.000,   0.000,  24.992,  13.087,   1.000,  0.5032,  0.5031,  12.745,  12.498,   0.524, 416, 288,
unit_f, 1970-01-01T01:20:20, 4820,   0.000,  13.081,   0.000,   0.000,  25.000,  13.081,   0.000,  0.5032,  0.5032,  13.081,  13.081,   0.000, 0, 0,
unit_f, 1970-01-01T01:20:29, 4829,   0.000,  13.081,   0.000,   0.000,  25.000,  13.081,   0.000,  0.5032,  0.5032,  13.081,  13.081,   0.000, 0, 0,
