unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230307,2023-03-07T17:43:53, -0.400,  0.300,0,0,247, 25.000, 13.152,  0.000,  0.000, 13.152, 13.800,  0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53, -0.100,  0.300,0,0,247, 25.000, 13.152,  0.000,  0.000, 13.152, 13.800,  0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53,  0.000,  0.100,0,0,247, 25.000, 13.152,  0.000,  0.000, 13.152, 13.800,  0.000, 13.152, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53,  0.154,  0.154,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.083, 13.069, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53,  0.253,  0.099,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.083, 13.069, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53,  0.353,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.083, 13.069, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:53,  0.453,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.083, 13.069, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  0.553,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.083, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  0.653,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  0.753,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  0.853,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  0.954,  0.101,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  1.053,  0.099,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
mon_rep230307,2023-03-07T17:43:54,  1.153,  0.100,0,0,247, 25.000, 13.152,  6.000,  0.000, 13.152, 13.800,  0.084, 13.068, 13.152,  0.000,  0.500,  0.500,  0.500,
