unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-02-27T19:26:49,  70945714.630, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:49,  70945714.730, 0.103,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:49,  70945714.833, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:49,  70945714.933, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.033, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.133, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.233, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.333, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.433, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.533, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-02-27T19:26:50,  70945715.633, 0.100,   1,  0,  0,  247,  0, 25.0,13.170,     0.000,     0.000,     0.000,13.17000,    13.80000,0.00000,13.17000,13.17000,   0.000000, 0.50000,0.50000,0.50000,
