unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221128,2022-11-28T12:59:09,  0.000,  0.400,0,0,0,  5.200, 13.181,  0.265,  0.237, 13.208, 13.721,    nan,    nan, 13.198,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:09,  0.400,  0.400,0,0,0,  5.200, 13.194,  0.265,  0.254, 13.208, 13.721,    nan,    nan, 13.198,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:10,  0.801,  0.401,0,0,0,  5.200, 13.202,  0.265,  0.138, 13.208, 13.721,    nan,    nan, 13.198,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:10,  1.200,  0.399,0,0,0,  5.200, 13.181,  0.265,  0.138, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:11,  1.601,  0.401,0,0,0,  5.200, 13.211,  0.198,  0.139, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:11,  2.001,  0.400,0,0,0,  5.200, 13.176,  0.265,  0.139, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:11,  2.400,  0.399,0,0,0,  5.200, 13.185,  0.265,  0.139, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:12,  2.800,  0.400,0,0,0,  5.200, 13.215,  0.198,  0.139, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:12,  3.200,  0.400,0,0,0,  5.200, 13.176,  0.265,  0.139, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:13,  3.600,  0.400,0,0,0,  5.200, 13.198,  0.198,  0.140, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:13,  4.000,  0.400,0,0,0,  5.200, 13.198,  0.198,  0.140, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:13,  4.400,  0.400,0,0,0,  5.200, 13.185,  0.265,  0.140, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:14,  4.800,  0.400,0,0,0,  5.200, 13.219,  0.198,  0.140, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:14,  5.200,  0.400,0,0,0,  5.200, 13.181,  0.265,  0.140, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:15,  5.600,  0.400,0,0,0,  5.200, 13.189,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:15,  6.001,  0.401,0,0,0,  5.200, 13.207,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:15,  6.401,  0.400,0,0,0,  5.200, 13.181,  0.265,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:16,  6.801,  0.400,0,0,0,  5.200, 13.194,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:16,  7.201,  0.400,0,0,0,  5.200, 13.202,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:17,  7.601,  0.400,0,0,0,  5.200, 13.189,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:17,  8.001,  0.400,0,0,0,  5.200, 13.211,  0.198,  0.141, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-11-28T12:59:17,  8.401,  0.400,0,0,0,  5.200, 13.181,  0.198,  0.142, 13.208, 13.721,    nan,    nan,    nan,    nan,  0.968,    nan,  0.968,
mon_rep221128,2022-12-29T03:28:15,2644146.057,2644137.656,0,0,0,  5.100, 13.172,  0.265,  0.142, 13.208, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:15,2644146.457,  0.400,0,0,0,  5.100, 13.194,  0.265, 15.952, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:16,2644146.857,  0.400,0,0,0,  5.100, 13.194,  0.265, 15.000, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:16,2644147.256,  0.399,1,0,0,  5.100, 13.181,  0.265, 14.992, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:17,2644147.657,  0.401,1,0,0,  5.100, 13.211,  0.265, 14.984, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:17,2644148.057,  0.400,1,0,0,  5.100, 13.176,  0.265,-16.216, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:17,2644148.457,  0.400,1,0,0,  5.100, 13.185,  0.265,-16.216, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:33,2644164.456, 15.999,1,0,0,  5.100, 13.189,  0.332,-16.216, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
mon_rep221128,2022-12-29T03:28:34,2644164.857,  0.401,1,0,0,  5.100, 13.211,  0.265,-16.216, 14.450, 13.720,    nan,    nan,    nan,    nan,  1.000,    nan,  1.000,
