fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2022-12-24T17:32:27, 1671903147,  20.562,  13.661,   0.000,   0.000,   7.000,  13.661,  18.732,  0.9177,  0.9164,  13.443,  13.268,  -0.052, 0, 0,
unit_f, 2022-12-24T17:32:37, 1671903157,  20.562,  13.748,   0.000,   0.000,   7.000,  13.748,  16.012,  0.9184,  0.9170,  13.543,  13.369,  -0.142, 0, 0,
unit_f, 2022-12-24T17:32:47, 1671903167,  20.562,  13.834,   0.000,   0.000,   7.000,  13.834,  13.293,  0.9189,  0.9177,  13.643,  13.476,  -0.245, 0, 0,
unit_f, 2022-12-24T17:32:57, 1671903177,  20.562,  13.918,   0.000,   0.000,   7.000,  13.918,  10.583,  0.9193,  0.9184,  13.743,  13.587,  -0.354, 0, 0,
unit_f, 2022-12-24T17:33:07, 1671903187,  20.562,  14.104,   0.000,   0.000,   7.000,  14.104,   7.860,  0.9196,  0.9192,  13.947,  13.807,  -0.527, 0, 0,
unit_f, 2022-12-24T17:33:17, 1671903197,  20.562,  14.317,   0.000,   0.000,   7.000,  14.317,   5.142,  1.0000,  0.9208,  14.180,  14.380,   0.083, 0, 0,
unit_f, 2022-12-24T17:33:27, 1671903207,  20.562,  14.529,   0.000,   0.000,   7.000,  14.529,   2.420,  1.0000,  0.9229,  14.413,  14.613,  -0.075, 0, 0,
unit_f, 2022-12-24T17:32:27, 1671903147,  20.562,  13.661,   0.000,   0.000,   7.000,  13.661,  18.732,  0.9177,  0.9164,  13.443,  13.268,  -0.052, 0, 0,
unit_f, 2022-12-24T17:32:37, 1671903157,  20.562,  13.748,   0.000,   0.000,   7.000,  13.748,  16.012,  0.9184,  0.9170,  13.543,  13.369,  -0.142, 0, 0,
unit_f, 2022-12-24T17:32:47, 1671903167,  20.562,  13.834,   0.000,   0.000,   7.000,  13.834,  13.293,  0.9189,  0.9177,  13.643,  13.476,  -0.245, 0, 0,
unit_f, 2022-12-24T17:32:57, 1671903177,  20.562,  13.918,   0.000,   0.000,   7.000,  13.918,  10.583,  0.9193,  0.9184,  13.743,  13.587,  -0.354, 0, 0,
unit_f, 2022-12-24T17:33:07, 1671903187,  20.562,  14.104,   0.000,   0.000,   7.000,  14.104,   7.860,  0.9196,  0.9192,  13.947,  13.807,  -0.527, 0, 0,
unit_f, 2022-12-24T17:33:17, 1671903197,  20.562,  14.317,   0.000,   0.000,   7.000,  14.317,   5.142,  1.0000,  0.9208,  14.180,  14.380,   0.083, 0, 0,
unit_f, 2022-12-24T17:33:27, 1671903207,  20.562,  14.529,   0.000,   0.000,   7.000,  14.529,   2.420,  1.0000,  0.9229,  14.413,  14.613,  -0.075, 0, 0,
