unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  65386999.625, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65386999.725, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65386999.860, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65386999.960, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.060, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.160, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.260, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.360, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.460, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.560, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.660, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.760, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
unit_sim,  65387000.860, 0, 0, 7.00000,7.00000, 13.72800,13.21845,0.00000,13.21845,   0.000,  0.000,  0.000,  0.000,  0,   -26568.0,   0.91000, 0, 
