fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-03-07T18:33:57, 1678214037,   0.000,  13.797,   0.000,   0.000,   7.000,  13.797,   4.305,  0.9314,  0.9319,  13.711,  13.706,  -0.390, 0, 0,
unit_f, 2023-03-07T18:34:07, 1678214047,   0.000,  13.814,   0.000,   0.000,   7.000,  13.814,   4.240,  0.9315,  0.9322,  13.730,  13.724,  -0.414, 0, 0,
unit_f, 2023-03-07T18:34:17, 1678214057,   0.000,  13.828,   0.000,   0.000,   7.000,  13.828,   4.175,  0.9316,  0.9324,  13.745,  13.739,  -0.430, 0, 0,
unit_f, 2023-03-07T18:34:27, 1678214067,   0.000,  13.842,   0.000,   0.000,   7.000,  13.842,   4.113,  0.9317,  0.9327,  13.761,  13.754,  -0.445, 0, 0,
unit_f, 2023-03-07T18:34:37, 1678214077,   0.000,  13.856,   0.000,   0.000,   7.000,  13.856,   4.052,  0.9319,  0.9331,  13.776,  13.768,  -0.459, 0, 0,
unit_f, 2023-03-07T18:34:47, 1678214087,   0.000,  13.870,   0.000,   0.000,   7.000,  13.870,   3.990,  0.9320,  0.9334,  13.790,  13.783,  -0.473, 0, 0,
unit_f, 2023-03-07T18:34:57, 1678214097,   0.000,  13.883,   0.000,   0.000,   7.000,  13.883,   3.930,  1.0000,  0.9338,  13.805,  13.865,   0.689, 0, 0,
unit_f, 2023-03-07T18:33:57, 1678214037,   0.000,  13.797,   0.000,   0.000,   7.000,  13.797,   4.305,  0.9314,  0.9319,  13.711,  13.706,  -0.390, 0, 0,
unit_f, 2023-03-07T18:34:07, 1678214047,   0.000,  13.814,   0.000,   0.000,   7.000,  13.814,   4.240,  0.9315,  0.9322,  13.730,  13.724,  -0.414, 0, 0,
unit_f, 2023-03-07T18:34:17, 1678214057,   0.000,  13.828,   0.000,   0.000,   7.000,  13.828,   4.175,  0.9316,  0.9324,  13.745,  13.739,  -0.430, 0, 0,
unit_f, 2023-03-07T18:34:27, 1678214067,   0.000,  13.842,   0.000,   0.000,   7.000,  13.842,   4.113,  0.9317,  0.9327,  13.761,  13.754,  -0.445, 0, 0,
unit_f, 2023-03-07T18:34:37, 1678214077,   0.000,  13.856,   0.000,   0.000,   7.000,  13.856,   4.052,  0.9319,  0.9331,  13.776,  13.768,  -0.459, 0, 0,
unit_f, 2023-03-07T18:34:47, 1678214087,   0.000,  13.870,   0.000,   0.000,   7.000,  13.870,   3.990,  0.9320,  0.9334,  13.790,  13.783,  -0.473, 0, 0,
unit_f, 2023-03-07T18:34:57, 1678214097,   0.000,  13.883,   0.000,   0.000,   7.000,  13.883,   3.930,  1.0000,  0.9338,  13.805,  13.865,   0.689, 0, 0,
