unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230307,2023-03-07T13:32:20,-10.103,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:20,-10.003,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.900,  0.103,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.800,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.700,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.600,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.500,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.400,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.300,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.200,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.100,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:21, -9.000,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:22, -8.900,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:22, -8.800,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:32:22, -8.700,  0.100,0,0,247,  7.000, 13.486,  0.000,  0.000, 13.303, 13.778,  0.000, 13.486, 13.303,  0.183,  0.930,  0.930,  0.930,
