unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230307,2023-03-07T13:20:08,-10.105,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:08,-10.006,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:08, -9.901,  0.105,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:08, -9.800,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:08, -9.701,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.600,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.400,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.300,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.200,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.100,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -9.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -8.901,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -8.800,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:09, -8.700,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.600,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.501,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.400,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.300,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.201,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.100,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -8.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -7.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -7.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:10, -7.700,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.600,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.401,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.301,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.200,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.100,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -7.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -6.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -6.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:11, -6.700,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.600,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.401,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.300,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.200,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.100,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -6.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -5.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -5.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:12, -5.700,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.600,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.400,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.300,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.200,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.101,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -5.000,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -4.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -4.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:13, -4.700,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.600,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.400,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.300,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.201,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.100,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -4.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.052, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -3.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.051, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -3.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.051, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:14, -3.701,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.051, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.600,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.051, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.500,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.050, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.400,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.050, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.300,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.050, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.200,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.050, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.100,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.049, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -3.000,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.049, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -2.900,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.049, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -2.800,  0.100,0,0,247,  7.000, 13.223,  0.000, -0.048, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:15, -2.701,  0.099,0,0,247,  7.000, 13.223,  0.000, -0.048, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
mon_rep230307,2023-03-07T13:20:16, -2.600,  0.101,0,0,247,  7.000, 13.223,  0.000, -0.048, 13.194, 13.778,  0.000, 13.224, 13.194,  0.029,  0.930,  0.930,  0.930,
