unit_e,c_time,dt,Fx_, Bu_, Q_, R_, P_, S_, K_, u_, x_, y_, z_, x_prior_, P_prior_, x_post_, P_post_, hx_, H_,
unit_ekf, 68360142.155,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.361291e-06, 0.3424386,0.002620825,0.006516264,         1, 0.2610092,    14.711,         1,8.713407e-06,         1,6.361291e-06,  14.44999,  102.9989,
unit_ekf, 68360144.155,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.359615e-06, 0.3385146,0.002579076, -16.96967,         1, 0.2728634,  14.70669, 0.9999049,8.61129e-06,         1,6.359615e-06,  14.43383,  101.3849,
unit_ekf, 68360146.155,  2.001, 0.9999999,5.6028e-06,  2.25e-06,      0.25,6.305793e-06, 0.3413375,0.002597959,0.006516264,         1, 0.2394791,  14.68947,         1,8.609614e-06,         1,6.305793e-06,  14.44999,  102.9989,
unit_ekf, 68360148.156,  1.999, 0.9999999,5.5972e-06,  2.25e-06,      0.25,6.276873e-06, 0.3407665,0.002586045,0.006516264,         1, 0.2523966,  14.70239,         1,8.555792e-06,         1,6.276873e-06,  14.44999,  102.9989,
unit_ekf, 68360150.155,  2.001, 0.9999999,5.6028e-06,  2.25e-06,      0.25,6.327754e-06, 0.3368838,0.00255496, -21.61409,         1, 0.2729864,  14.70239, 0.9998788,8.526872e-06,         1,6.327754e-06,   14.4294,  100.9426,
unit_ekf, 68360152.156,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.288685e-06, 0.3409995,0.002590911,0.006516264,         1, 0.2437849,  14.69377,         1,8.577753e-06,         1,6.288685e-06,  14.44999,  102.9989,
unit_ekf, 68360154.156,  1.999, 0.9999999,5.5972e-06,  2.25e-06,      0.25,6.26766e-06,  0.340585,0.002582249,0.006516264,         1, 0.2523966,  14.70239,         1,8.538684e-06,         1,6.26766e-06,  14.44999,  102.9989,
unit_ekf, 68360156.155,  2.001, 0.9999999,5.6028e-06,  2.25e-06,      0.25,6.317092e-06, 0.3370878,0.002555029, -19.79773,         1, 0.2712536,  14.70239,  0.999889,8.517659e-06,         1,6.317092e-06,  14.43113,  101.1157,
unit_ekf, 68360158.156,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.282952e-06, 0.3408864,0.002588549,0.006516264,         1, 0.2523966,  14.70239,         1,8.567091e-06,         1,6.282952e-06,  14.44999,  102.9989,
unit_ekf, 68360160.156,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.26457e-06, 0.3405242,0.002580976,0.006516264,         1, 0.2610092,    14.711,         1,8.532951e-06,         1,6.26457e-06,  14.44999,  102.9989,
unit_ekf, 68360162.156,  1.999, 0.9999999,5.5972e-06,  2.25e-06,      0.25,6.311343e-06, 0.3372725,0.002555872, -18.49417,         1, 0.2570791,  14.68947, 0.9998964,8.514569e-06,         1,6.311343e-06,  14.43239,  101.2412,
unit_ekf, 68360164.155,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.279859e-06, 0.3408254,0.002587275,0.006516264,         1, 0.2437849,  14.69377,         1,8.561342e-06,         1,6.279859e-06,  14.44999,  102.9989,
