unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
soc0p_20221220, 2023-01-28T16:52:58,  68360142.155, 2.000,   1,  1,  1,  0,  0, 17.8,14.511,     0.007,     0.007,   -16.216,14.45000,    13.77117,0.00008,14.71100,14.44999,   0.261009, 1.00000,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:00,  68360144.155, 2.000,   1,  1,  1,  0,  0, 17.8,14.507,     0.007,     0.007,   -16.216,14.45000,    13.77121,0.00008,14.70669,14.43383,   0.272863, 0.99966,1.00000,0.99990,
soc0p_20221220, 2023-01-28T16:53:02,  68360146.155, 2.001,   1,  1,  1,  0,  0, 17.8,14.490,     0.007,     0.007,   -16.217,14.43355,    13.77121,0.00008,14.68947,14.44999,   0.239479, 0.99962,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:04,  68360148.156, 1.999,   1,  1,  1,  0,  0, 17.8,14.502,     0.007,     0.007,   -16.216,14.45000,    13.77121,0.00008,14.70239,14.44999,   0.252397, 1.00000,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:06,  68360150.155, 2.001,   1,  1,  1,  0,  0, 17.8,14.502,     0.007,     0.007,   -16.216,14.45000,    13.77126,0.00008,14.70239,14.42940,   0.272986, 1.00000,1.00000,0.99988,
soc0p_20221220, 2023-01-28T16:53:08,  68360152.156, 2.000,   1,  1,  1,  0,  0, 17.8,14.494,     0.007,     0.007,   -16.217,14.42904,    13.77126,0.00008,14.69377,14.44999,   0.243785, 0.99988,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:10,  68360154.156, 1.999,   1,  1,  1,  0,  0, 17.8,14.502,     0.007,     0.007,   -16.216,14.45000,    13.77126,0.00008,14.70239,14.44999,   0.252397, 1.00000,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:12,  68360156.155, 2.001,   1,  1,  1,  0,  0, 17.8,14.502,     0.007,     0.007,   -16.216,14.45000,    13.77130,0.00008,14.70239,14.43113,   0.271254, 1.00000,1.00000,0.99989,
soc0p_20221220, 2023-01-28T16:53:14,  68360158.156, 2.000,   1,  1,  1,  0,  0, 17.8,14.502,     0.007,     0.007,   -16.217,14.43081,    13.77130,0.00008,14.70239,14.44999,   0.252397, 0.99989,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:16,  68360160.156, 2.000,   1,  1,  1,  0,  0, 17.8,14.511,     0.007,     0.007,   -16.216,14.45000,    13.77130,0.00008,14.71100,14.44999,   0.261009, 1.00000,1.00000,1.00000,
soc0p_20221220, 2023-01-28T16:53:18,  68360162.156, 1.999,   1,  1,  1,  0,  0, 17.8,14.490,     0.007,     0.007,   -16.216,14.45000,    13.77135,0.00008,14.68947,14.43239,   0.257079, 1.00000,1.00000,0.99989,
