unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230304,2023-03-04T03:05:14,  0.000,  2.000,1,0,0, 17.800, 14.511,  0.007,-50.020, 14.700, 13.821,  0.000, 14.571, 14.700, -0.129,  1.000,  1.000,  1.000,
mon_rep230304,2023-03-04T03:05:16,  2.000,  2.000,1,0,0, 17.800, 14.507,  0.007,-15.000, 14.700, 13.821,  0.000, 14.567, 14.685, -0.118,  1.000,  1.000,  1.000,
mon_rep230304,2023-03-04T03:05:18,  4.000,  2.000,1,0,0, 17.800, 14.490,  0.007,-15.000, 14.700, 13.821,  0.000, 14.549, 14.661, -0.112,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:20,  6.001,  2.001,1,0,0, 17.800, 14.502,  0.007,-15.000, 14.700, 13.821,  0.000, 14.562, 14.634, -0.071,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:22,  8.000,  1.999,1,0,0, 17.800, 14.502,  0.007,-15.000, 14.700, 13.821,  0.000, 14.562, 14.614, -0.052,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:24, 10.001,  2.001,1,0,0, 17.800, 14.494,  0.007,-15.000, 14.700, 13.821,  0.000, 14.554, 14.614, -0.052,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:26, 12.001,  2.000,1,0,0, 17.800, 14.502,  0.007,-15.000, 14.700, 13.821,  0.000, 14.562, 14.599, -0.037,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:28, 14.000,  1.999,1,0,0, 17.800, 14.502,  0.007,-15.000, 14.700, 13.821,  0.000, 14.562, 14.588, -0.026,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:30, 16.001,  2.001,1,0,0, 17.800, 14.502,  0.007,-15.000, 14.700, 13.821,  0.000, 14.562, 14.588, -0.026,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:32, 18.001,  2.000,1,0,0, 17.800, 14.511,  0.007,-15.000, 14.700, 13.821,  0.000, 14.571, 14.581, -0.010,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:34, 20.001,  2.000,1,0,0, 17.800, 14.490,  0.007,-15.000, 14.700, 13.821,  0.000, 14.549, 14.578, -0.028,  1.000,  0.999,  1.000,
mon_rep230304,2023-03-04T03:05:36, 22.000,  1.999,1,0,0, 17.800, 14.494,  0.007,-15.000, 14.700, 13.821,  0.000, 14.554, 14.569, -0.015,  1.000,  0.999,  1.000,
