fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-02-14T12:49:38, 1676378978,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:49:48, 1676378988,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:49:58, 1676378998,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.299,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:09, 1676379009,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:19, 1676379019,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:29, 1676379029,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.327,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:39, 1676379039,   0.000,  13.327,   0.000,   0.000,  25.000,  13.327,   0.000,  0.8999,  0.8805,  13.327,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:49:38, 1676378978,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:49:48, 1676378988,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:49:58, 1676378998,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.299,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:09, 1676379009,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:19, 1676379019,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.328,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:29, 1676379029,   0.000,  13.328,   0.000,   0.000,  25.000,  13.328,   0.000,  0.8999,  0.8805,  13.327,  13.300,   0.000, 0, 0,
unit_f, 2023-02-14T12:50:39, 1676379039,   0.000,  13.327,   0.000,   0.000,  25.000,  13.327,   0.000,  0.8999,  0.8805,  13.327,  13.300,   0.000, 0, 0,
