unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.138, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.238, 0.103,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.341, 0.101,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.442, 0.099,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.541, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.641, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.741, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.841, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:21,  69797706.941, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.041, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.141, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.241, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.341, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.441, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.541, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.641, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.741, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.841, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:22,  69797707.941, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.041, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.141, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.241, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.341, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.441, 0.101,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.542, 0.099,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
pro0p_20230214, 2023-02-14T12:33:23,  69797708.641, 0.100,   1,  0,  0,  247,  0, 25.0,13.300,     0.000,     0.000,     0.000,13.30000,    13.80000,0.00000,13.30000,13.30000,   0.000000, 0.90000,0.88062,0.90000,
