unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  70908057.472, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908057.572, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908057.675, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908057.775, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908057.875, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908057.975, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.075, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.175, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.275, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.375, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.475, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.575, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.675, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.775, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.875, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908058.975, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.075, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.175, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.275, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.375, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.475, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.575, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.675, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.775, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.875, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908059.975, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.075, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.175, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.275, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.375, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.475, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.575, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.675, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.775, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.875, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908060.975, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.075, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.175, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.275, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.375, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.475, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.576, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.675, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.775, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.875, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908061.975, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
unit_sim,  70908062.075, 1, 0, 25.00000,25.00000, 13.80000,13.30000,0.00000,13.30000,   0.000,  0.000,  0.000,  0.000,  0,   -36000.0,   0.90000, 0, 
