unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.008, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.108, 0.104,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.212, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.312, 0.099,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.411, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:18,  75982089.511, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:19,  75982089.611, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:19,  75982089.711, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:19,  75982089.811, 0.101,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
pro0p_20230219, 2023-03-07T21:35:19,  75982089.912, 0.100,   1,  405720, 0,  0,  247,  0, 25.0,13.299,     0.000,     0.000,     0.000,13.29900,    13.80000,0.00000,13.29900,13.29900,   0.000000, 0.90000,0.90000,0.90000,
