unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.145, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.245, 0.103,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.348, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.448, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.548, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.648, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.748, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.848, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:15,  70998311.948, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.048, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.148, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.248, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.348, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.448, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.548, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.648, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.748, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.848, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:16,  70998312.948, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:17,  70998313.048, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
pro0p_20230219, 2023-02-28T10:01:17,  70998313.148, 0.100,   1,  0,  0,  247,  0, 25.0,10.000,     0.000,     0.000,     0.000,10.00000,    13.80000,0.00000,10.00000,12.61000,  -2.610001, -0.06800,0.00000,-0.06800,
