unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  Vb,  Ib,   Ib_charge, ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20221028, 2022-11-21T14:21:22,  66646512.658, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646512.758, 0.103,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646512.861, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,   500.000,   500.000,     0.000,13.08000,    13.80000,1.50000,11.57861,13.08000,   0.000000, 0.50000,0.50000,0.50014,
pro_20221028, 2022-11-21T14:21:22,  66646512.961, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,  -500.000,  -500.000,     0.173,13.08006,    13.80000,-1.09536,14.17536,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646513.061, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.20001,13.28001,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646513.161, 0.153,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.10001,13.18001,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646513.314, 0.099,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.02351,13.10351,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:22,  66646513.413, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.01187,13.09187,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646513.513, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00594,13.08594,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646513.613, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00297,13.08297,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646513.713, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00149,13.08149,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646513.813, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00075,13.08075,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646513.913, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00038,13.08038,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646514.013, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00019,13.08019,13.08000,   0.000191, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646514.113, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00010,13.08010,13.08000,   0.000191, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646514.213, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00005,13.08005,13.08000,   0.000191, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-21T14:21:23,  66646514.313, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,    -0.000,13.08000,    13.80000,-0.00003,13.08003,13.08000,   0.000191, 0.50000,0.50000,0.50000,
