unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230306,2023-03-06T16:40:23, -0.105,  0.105,0,0,255, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:23,  0.000,  0.105,0,0,255, 25.000, 13.080,  0.000,  0.000, 13.080, 13.850,  0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.100,  0.100,0,0,255, 25.000, 13.080,500.000,  0.000, 13.080, 13.850,  2.302, 10.764, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.200,  0.100,0,0,255, 25.000, 13.080,-500.000,  1.697, 13.080, 13.850, -2.298, 15.378, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.301,  0.101,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.400,  0.099,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.500,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.600,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.700,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.800,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  0.900,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:24,  1.000,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:25,  1.100,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:25,  1.200,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:25,  1.300,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:25,  1.400,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
mon_rep230306,2023-03-06T16:40:25,  1.500,  0.100,0,0,255, 25.000, 13.080,  0.000, -0.006, 13.080, 13.850, -0.000, 13.080, 13.080,  0.000,  0.500,  0.500,  0.500,
