unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving
unit_sel,74770362.387,0,1,0.2670636,0.3102,-0.39149,0.3102,0.3102,0.3102,0.70169,0.0544,13.11039,-0.15993,-0.13815,1,0.3102,0.3102,0,0.3102,1,13.25953,13.11232,0,13.25953,11.43,11.43,0,11.43,0,16,-0.092,0.011,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770363.419,0,1,0.2670628,0.35911,-0.04911,0.35911,0.35911,0.35911,0.40822,0.04697,13.11039,-0.12308,-0.13949,1,0.35911,0.35911,0,0.35911,1,13.25095,13.11048,0,13.25095,11.43,11.43,0,11.43,0,16,0.037,-0.009,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770363.619,0,1,0.267063,0.11455,-0.19584,0.11455,0.11455,0.11455,0.3104,0.04591,13.11039,-0.16121,-0.13998,1,0.11455,0.11455,0,0.11455,1,13.2681,13.11093,0,13.2681,11.43,11.43,0,11.43,0,16,-0.024,-0.012,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770363.819,0,1,0.2671808,0.40802,-0.09802,0.40802,0.40802,0.40802,0.50604,0.04686,13.11039,-0.15264,-0.14068,1,0.40802,0.40802,0,0.40802,1,13.2681,13.11093,0,13.2681,11.43,11.43,0,11.43,0,16,0.417,-0.01,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770364.019,0,1,0.2671807,0.45693,0.04871,0.45693,0.45693,0.45693,0.40823,0.06103,13.11039,-0.13435,-0.14086,1,0.45693,0.45693,0,0.45693,1,13.28954,13.11207,0,13.28954,11.43,11.43,0,11.43,1024,16,0.257,-0.001,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770364.219,0,1,0.2671806,0.16346,-0.39149,0.16346,0.16346,0.16346,0.55495,0.06521,13.11039,-0.11043,-0.14095,1,0.16346,0.16346,0,0.16346,1,13.21666,13.11027,0,13.21666,11.43,11.43,0,11.43,1024,16,-0.612,0.003,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770364.419,0,1,0.2671806,-0.03218,0.04871,-0.03218,-0.03218,-0.03218,-0.08089,0.05474,13.11039,-0.17925,-0.14102,1,-0.03218,-0.03218,0,-0.03218,1,13.25524,13.11003,0,13.25524,11.43,11.43,0,11.43,0,16,-0.181,-0.011,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770364.619,0,1,0.2671807,-0.17892,-0.09802,-0.17892,-0.17892,-0.17892,-0.0809,0.04752,13.11039,-0.14407,-0.14116,1,-0.17892,-0.17892,0,-0.17892,1,13.27239,13.11092,0,13.27239,11.43,11.43,0,11.43,0,16,-0.221,-0.022,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770364.819,0,1,0.2671806,0.16347,-0.04911,0.16347,0.16347,0.16347,0.21258,0.05874,13.11039,-0.10324,-0.14072,1,0.16347,0.16347,0,0.16347,1,13.24238,13.11318,0,13.24238,11.43,11.43,0,11.43,0,16,0.457,-0.024,1,0.2,0.394,-0.492,10,0.005,0
unit_sel,74770365.019,0,1,0.2671806,0.21238,-0.09802,0.21238,0.21238,0.21238,0.3104,0.06291,13.11039,-0.14836,-0.14065,1,0.21238,0.21238,0,0.21238,1,13.27239,13.11093,0,13.27239,11.43,11.43,0,11.43,0,16,-0.076,-0.022,1,0.2,0.394,-0.492,10,0.005,0
