unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,,,,,,,,,,,,,,,,,,,,,
unit_sim,74770362.387,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00159,13.11232,0.212,0.31,0.31,0.07,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770363.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.0002,13.11048,-0.179,0.359,0.359,0.061,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770363.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11093,-0.081,0.115,0.115,0.062,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770363.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11093,-0.081,0.408,0.408,0.062,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770364.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00138,13.11207,0.163,0.457,0.457,0.063,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770364.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.00042,13.11027,-0.228,0.163,0.163,0.064,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770364.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.00064,13.11003,-0.277,-0.032,-0.032,0.063,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770364.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11092,-0.081,-0.179,-0.179,0.062,0,-101775,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770364.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.0025,13.11318,0.408,0.163,0.163,0.062,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770365.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00025,13.11093,-0.081,0.212,0.212,0.062,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770365.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00115,13.11184,0.115,0.31,0.31,0.063,0,-101774.9,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770365.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00273,13.11343,0.457,0.066,0.066,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770365.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00116,13.11185,0.115,-0.13,-0.13,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770365.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00206,13.11275,0.31,-0.13,-0.13,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770366.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00048,13.11118,-0.032,0.261,0.261,0.065,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770366.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00071,13.11141,0.017,0.261,0.261,0.065,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770366.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.00042,13.11028,-0.228,0.163,0.163,0.065,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770366.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00206,13.11276,0.31,0.066,0.066,0.066,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770366.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00093,13.11163,0.066,-0.081,-0.081,0.066,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770367.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00138,13.11209,0.163,0.359,0.359,0.066,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770367.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00093,13.11165,0.066,0.261,0.261,0.067,0,-101774.6,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770367.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00274,13.11347,0.457,0.163,0.163,0.07,0,-101774.6,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770367.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00072,13.11144,0.017,-0.179,-0.179,0.07,0,-101774.6,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770367.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00274,13.11347,0.457,0.115,0.115,0.07,0,-101774.5,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770370.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00162,13.11238,0.212,0.359,0.359,0.074,0,-101774.2,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770371.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00005,13.11082,-0.13,0.506,0.506,0.074,0,-101774.2,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770371.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00208,13.11285,0.31,0.017,0.017,0.077,0,-101774.1,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770371.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00298,13.11377,0.506,0.212,0.212,0.078,0,-101774.1,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770371.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00231,13.11311,0.359,0.408,0.408,0.08,0,-101774,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770371.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00074,13.11154,0.017,0.066,0.066,0.081,0,-101774,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770372.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00096,13.11176,0.066,0.017,0.017,0.081,0,-101774,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770372.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00051,13.11131,-0.032,0.261,0.261,0.08,0,-101774,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770372.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00299,13.11382,0.506,0.555,0.555,0.083,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770372.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00119,13.11202,0.115,0.115,0.115,0.085,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770372.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00142,13.11226,0.163,0.31,0.31,0.085,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770373.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.00015,13.11067,-0.179,-0.032,-0.032,0.085,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770373.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00164,13.11248,0.212,0.163,0.163,0.085,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_sim,74770373.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00074,13.11157,0.017,-0.081,-0.081,0.085,0,-101773.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
