unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,  Tb,  Vb,  Ib,   ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20220926, 2022-10-04T03:38:17,        85.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:17,        85.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        85.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        85.706, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        85.906, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        86.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        86.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49984,   0.000159, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        86.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        86.706, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        86.906, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        87.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:19,        87.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        87.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        87.706, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49985,   0.000149, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        87.906, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49986,   0.000139, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        88.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49986,   0.000139, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        88.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49986,   0.000139, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        88.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49986,   0.000139, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        88.706, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49986,   0.000139, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        88.906, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        89.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:21,        89.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        89.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        89.706, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        89.906, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49987,   0.000130, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        90.106, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        90.306, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        90.506, 0.100,   0,  1,  0,  15,  25.0,14.300,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 0.99999,1.00000,1.00000,
pro_20220926, 2022-10-04T03:38:23,        90.706, 0.100,   0,  1,  0,  15,  25.0,14.126,   -50.260,   -16.216,14.50000,    13.80000,-0.17112,14.49674,14.49659,   0.000149, 0.99996,0.99998,0.99998,
pro_20220926, 2022-10-04T03:38:23,        90.906, 0.100,   0,  1,  0,  15,  25.0,13.901,  -100.489,   -16.216,14.49674,    13.80000,-0.38830,14.48911,14.48891,   0.000205, 0.99990,0.99993,0.99993,
