unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20221220, 2023-01-28T08:25:18,       866.647, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:18,       866.750, 0.103,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:18,       866.850, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:18,       866.950, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:18,       867.050, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.150, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.250, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.350, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.450, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.550, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.650, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.750, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.850, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       867.950, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:19,       868.050, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.150, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.250, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.350, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.450, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.550, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.650, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.750, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.850, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       868.950, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:20,       869.050, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
pro0p_20221220, 2023-01-28T08:25:21,       869.150, 0.100,   0,  1,  0,  255,  0, 25.0,14.300,     0.000,     0.000,   -16.216,14.50000,    13.80000,0.00000,14.50000,14.49998,   0.000019, 1.00000,1.00000,1.00000,
