unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving,
unit_sel,      177.657, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      177.760, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      177.860, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      177.960, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.061, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.160, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.260, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.361, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.460, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
unit_sel,      178.560, 0, 0,   0.0000000,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   14.70000,0.00000,0.00000,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,14.70000, 1, 14.70000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1, 200.000,708.480,-708.480, 10.000,  0.005,0,
