unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230214, 2023-02-14T12:26:16,        54.673, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:16,        54.776, 0.103,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:16,        54.876, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:16,        54.976, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.076, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.176, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.276, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.376, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.476, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.576, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.676, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.776, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.876, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:17,        55.976, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.076, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.176, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.276, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.376, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.476, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.576, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.676, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.776, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.876, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:18,        56.976, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.076, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.176, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000007, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.276, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.376, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.476, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.576, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.676, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.776, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.876, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:19,        57.976, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:20,        58.076, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:20,        58.176, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro0p_20230214, 2023-02-14T12:26:20,        58.276, 0.100,   1,  1,  0,  255,  0, 25.0,14.400,     0.000,     0.000,   -75.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
