unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T09:59:29,        80.700, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:29,        80.804, 0.104,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:29,        80.904, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:29,        81.004, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:29,        81.105, 0.101,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:30,        81.204, 0.099,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000008, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:30,        81.305, 0.101,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:30,        81.405, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:30,        81.505, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T09:59:30,        81.605, 0.100,   1,  405720, 1,  0,  255,  0, 25.0,14.640,     0.000,     0.000,   -15.000,14.70000,    13.80000,0.00000,14.70000,14.69999,   0.000014, 1.00000,1.00000,1.00000,
