unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro1a_20230219, 1970-01-01T01:22:01,      1136.165, 0.099,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:01,      1136.271, 0.106,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:01,      1136.371, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:01,      1136.471, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:01,      1136.571, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:01,      1136.670, 0.099,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49999,   0.000010, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1136.771, 0.101,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1136.870, 0.099,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1136.971, 0.101,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1137.071, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1137.171, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1137.271, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
pro1a_20230219, 1970-01-01T01:22:02,      1137.371, 0.100,   0,  360000, 1,  0,  255,  0, 40.0,14.200,     0.000,     0.000,   -18.750,14.50000,    13.86000,0.00000,14.50000,14.49998,   0.000018, 1.00000,1.00000,1.00000,
