unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,      1136.165, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.271, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.371, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.471, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.571, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.670, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.771, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.870, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1136.971, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.071, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.171, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.271, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.371, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.471, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.570, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
unit_sim,      1137.671, 0,  360000, 0, 40.00000,40.00000, 13.86000,14.50000,0.00000,14.20000,   0.000,  0.000,  0.000,-18.750,  1,        0.0,   1.00000, 0, 
