unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,      1224.702, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1224.805, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1224.905, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.005, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.105, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.205, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.305, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.405, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.505, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.605, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.705, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
unit_sim,      1225.805, 1,  405720, 0, 25.00000,25.00000, 13.80000,14.70000,0.00000,14.64000,   0.000,  0.000,  0.000,-15.000,  1,        0.0,   1.00000, 0, 
