t,"  vb, real","vb, im",  ib,b2:c4098
0,12.758,0,-17.321,
0.200000002980232,12.671,0,-17.382,
0.400000005960465,12.77,0,-17.443,
0.600000008940697,12.805,0,-17.077,
0.799999997019768,12.736,0,-17.321,2052
1,12.796,0,-17.321,
1.20000000298023,12.753,0,-17.565,
1.40000000596046,12.762,0,-17.504,
1.6000000089407,12.727,0,-17.077,
1.79999999701977,12.74,0,-17.747,
2,12.68,0,-17.626,
2.20000000298023,12.65,0,-16.711,
2.40000000596046,12.736,0,-17.199,
2.6000000089407,12.74,0,-17.443,
2.79999999701977,12.732,0,-17.199,
3,12.805,0,-17.382,
3.20000000298023,12.758,0,-17.504,
3.40000000596046,12.745,0,-17.077,
3.6000000089407,12.753,0,-17.321,
3.79999999701977,12.71,0,-17.26,
4,12.749,0,-17.077,
4.20000000298023,12.779,0,-16.955,
4.40000000596046,12.762,0,-16.894,
4.6000000089407,12.74,0,-17.26,
4.79999999701977,12.762,0,-17.504,
5,12.792,0,-17.321,
5.20000000298023,12.74,0,-17.26,
5.40000000596046,12.65,0,-17.321,
5.6000000089407,12.775,0,-17.26,
5.79999999701977,12.796,0,-17.747,
6,12.727,0,-17.321,
6.20000000298023,12.796,0,-16.894,
6.40000000596046,12.779,0,-17.26,
6.6000000089407,12.758,0,-17.138,
6.79999999701977,12.758,0,-17.26,
7,12.788,0,-17.382,
7.20000000298023,12.753,0,-17.077,
7.40000000596046,12.723,0,-17.869,
7.6000000089407,12.775,0,-17.382,
7.79999999701977,12.758,0,-17.382,
8,12.753,0,-17.686,
8.20000000298023,12.693,0,-17.382,
8.40000000596046,12.766,0,-17.138,
8.6000000089407,12.702,0,-16.65,
8.79999999701977,12.715,0,-17.321,
9,12.676,0,-17.321,
9.20000000298023,12.719,0,-17.016,
9.40000000596046,12.745,0,-17.26,
9.6000000089407,12.745,0,-17.138,
9.79999999701977,12.74,0,-17.26,
10,12.723,0,-17.382,
10.2000000029802,12.753,0,-17.382,
10.4000000059605,12.732,0,-17.26,
10.6000000089407,12.693,0,-17.565,
10.7999999970198,12.775,0,-17.138,
11,12.77,0,-17.504,
11.2000000029802,12.775,0,-17.443,
11.4000000059605,12.779,0,-17.016,
11.6000000089407,12.779,0,-17.016,
11.7999999970198,12.749,0,-17.443,
12,12.762,0,-16.772,
12.2000000029802,12.814,0,-17.321,
12.4000000059605,12.74,0,-16.955,
12.6000000089407,12.796,0,-17.443,
12.7999999970198,12.671,0,-17.443,
13,12.77,0,-17.626,
13.2000000029802,12.745,0,-17.199,
13.4000000059605,12.697,0,-17.626,
13.6000000089407,12.749,0,-16.955,
13.7999999970198,12.753,0,-17.016,
14,12.715,0,-17.443,
14.2000000029802,12.74,0,-17.565,
14.4000000059605,12.762,0,-16.955,
14.6000000089407,12.753,0,-16.955,
14.7999999970198,12.706,0,-17.138,
15,12.71,0,-17.626,
15.2000000029802,12.762,0,-17.077,
15.4000000059605,12.758,0,-16.772,
15.6000000089407,12.736,0,-17.077,
15.7999999970198,12.814,0,-17.504,
16,12.805,0,-17.443,
16.2000000029802,12.745,0,-17.199,
16.4000000059605,12.766,0,-17.26,
16.6000000089407,12.814,0,-17.504,
16.7999999970198,12.74,0,-17.565,
17,12.762,0,-17.808,
17.2000000029802,12.801,0,-17.565,
17.4000000059605,12.74,0,-17.443,
17.6000000089407,12.775,0,-17.199,
17.7999999970198,12.796,0,-17.626,
18,12.723,0,-17.565,
18.2000000029802,12.727,0,-16.833,
18.4000000059605,12.758,0,-17.138,
18.6000000089407,12.775,0,-17.321,
18.7999999970198,12.805,0,-17.077,
19,12.809,0,-17.016,
19.2000000029802,12.77,0,-17.565,
19.4000000059605,12.74,0,-17.199,
19.6000000089407,12.727,0,-17.443,
19.7999999970198,12.74,0,-17.382,
20,12.74,0,-17.991,
20.2000000029802,12.758,0,-17.077,
20.4000000059605,12.745,0,-17.504,
20.6000000089407,12.693,0,-16.894,
20.7999999970198,12.689,0,-17.321,
21,12.736,0,-17.565,
21.2000000029802,12.727,0,-17.138,
21.4000000059605,12.775,0,-17.138,
21.6000000089407,12.689,0,-17.199,
21.7999999970198,12.736,0,-17.443,
22,12.792,0,-17.199,
22.2000000029802,12.801,0,-16.711,
22.4000000059605,12.689,0,-17.321,
22.6000000089407,12.77,0,-17.199,
22.7999999970198,12.74,0,-17.382,
23,12.814,0,-17.382,
23.2000000029802,12.667,0,-17.382,
23.4000000059605,12.753,0,-17.686,
23.6000000089407,12.702,0,-17.321,
23.7999999970198,12.814,0,-17.747,
24,12.775,0,-17.686,
24.2000000029802,12.745,0,-17.504,
24.4000000059605,12.758,0,-17.747,
24.6000000089407,12.749,0,-17.869,
24.7999999970198,12.77,0,-17.808,
25,12.693,0,-17.199,
25.2000000029802,12.689,0,-17.016,
25.4000000059605,12.727,0,-17.077,
25.6000000089407,12.779,0,-17.443,
25.7999999970198,12.697,0,-17.321,
26,12.702,0,-17.504,
26.2000000029802,12.753,0,-17.565,
26.4000000059605,12.745,0,-17.626,
26.6000000089407,12.715,0,-17.321,
26.7999999970198,12.727,0,-17.26,
27,12.775,0,-17.443,
27.2000000029802,12.753,0,-17.26,
27.4000000059605,12.77,0,-17.199,
27.6000000089407,12.796,0,-17.626,
27.7999999970198,12.663,0,-17.443,
28,12.775,0,-17.504,
28.2000000029802,12.796,0,-17.199,
28.4000000059605,12.796,0,-17.686,
28.6000000089407,12.779,0,-17.808,
28.7999999970198,12.779,0,-17.26,
29,12.74,0,-17.26,
29.2000000029802,12.762,0,-17.077,
29.4000000059605,12.77,0,-17.382,
29.6000000089407,12.727,0,-17.077,
29.7999999970198,12.775,0,-17.016,
30,12.758,0,-17.321,
30.2000000029802,12.676,0,-17.747,
30.4000000059605,12.745,0,-16.894,
30.6000000089407,12.77,0,-17.443,
30.7999999970198,12.745,0,-17.382,
31,12.762,0,-17.26,
31.2000000029802,12.732,0,-17.138,
31.4000000059605,12.736,0,-17.321,
31.6000000089407,12.745,0,-17.077,
31.7999999970198,12.723,0,-16.955,
32,12.753,0,-17.504,
32.2000000029802,12.736,0,-17.077,
32.4000000059605,12.74,0,-17.138,
32.6000000089407,12.779,0,-17.077,
32.7999999970198,12.753,0,-16.955,
33,12.762,0,-17.138,
33.2000000029802,12.732,0,-17.747,
33.4000000059605,12.77,0,-17.199,
33.6000000089407,12.788,0,-17.199,
33.7999999970198,12.814,0,-17.382,
34,12.779,0,-17.321,
34.2000000029802,12.783,0,-17.321,
