unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep230208,2023-02-08T05:50:55,  0.000,  0.201,0,0,0, 12.900, 13.275, -0.205, -0.157, 13.303, 13.752, -0.001, 13.277, 13.308, -0.031,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:55,  0.201,  0.201,0,0,0, 12.900, 13.288, -0.171, -0.146, 13.303, 13.752, -0.002, 13.292, 13.308, -0.016,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:55,  0.401,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.147, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:55,  0.601,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.147, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:55,  0.801,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.147, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:56,  1.000,  0.199,0,0,0, 12.900, 13.288, -0.171, -0.147, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:56,  1.201,  0.201,0,0,0, 12.900, 13.284, -0.205, -0.147, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:56,  1.401,  0.200,0,0,0, 12.900, 13.280, -0.171, -0.148, 13.303, 13.752, -0.002, 13.283, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:56,  1.600,  0.199,0,0,0, 12.900, 13.292, -0.171, -0.148, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:56,  1.801,  0.201,0,0,0, 12.900, 13.280, -0.171, -0.148, 13.303, 13.752, -0.002, 13.283, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:57,  2.001,  0.200,0,0,0, 12.900, 13.280, -0.205, -0.148, 13.303, 13.752, -0.002, 13.283, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:57,  2.200,  0.199,0,0,0, 12.900, 13.292, -0.171, -0.149, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:57,  2.401,  0.201,0,0,0, 12.900, 13.284, -0.171, -0.149, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:57,  2.601,  0.200,0,0,0, 12.900, 13.280, -0.205, -0.149, 13.303, 13.752, -0.002, 13.283, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:57,  2.800,  0.199,0,0,0, 12.900, 13.288, -0.171, -0.149, 13.303, 13.752, -0.002, 13.292, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:58,  3.001,  0.201,0,0,0, 12.900, 13.288, -0.171, -0.149, 13.303, 13.752, -0.002, 13.291, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:58,  3.201,  0.200,0,0,0, 12.900, 13.284, -0.205, -0.150, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:58,  3.400,  0.199,0,0,0, 12.900, 13.301, -0.171, -0.150, 13.303, 13.752, -0.002, 13.304, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:58,  3.600,  0.200,0,0,0, 12.900, 13.292, -0.171, -0.150, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:58,  3.800,  0.200,0,0,0, 12.900, 13.284, -0.171, -0.150, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:59,  4.000,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.150, 13.303, 13.752, -0.002, 13.291, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:59,  4.200,  0.200,0,0,0, 12.900, 13.292, -0.171, -0.151, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:59,  4.401,  0.201,0,0,0, 12.900, 13.288, -0.205, -0.151, 13.303, 13.752, -0.002, 13.292, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:59,  4.600,  0.199,0,0,0, 12.900, 13.284, -0.171, -0.151, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:50:59,  4.800,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.151, 13.303, 13.752, -0.002, 13.291, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:00,  5.001,  0.201,0,0,0, 12.900, 13.292, -0.171, -0.151, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:00,  5.201,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.151, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:00,  5.401,  0.200,0,0,0, 12.900, 13.292, -0.171, -0.152, 13.303, 13.752, -0.002, 13.296, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:00,  5.600,  0.199,0,0,0, 12.900, 13.292, -0.205, -0.152, 13.303, 13.752, -0.002, 13.296, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:00,  5.800,  0.200,0,0,0, 12.900, 13.284, -0.205, -0.152, 13.303, 13.752, -0.002, 13.287, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:01,  6.001,  0.201,0,0,0, 12.900, 13.284, -0.171, -0.152, 13.303, 13.752, -0.002, 13.287, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:01,  6.200,  0.199,0,0,0, 12.900, 13.288, -0.171, -0.153, 13.303, 13.752, -0.002, 13.291, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:01,  6.400,  0.200,0,0,0, 12.900, 13.280, -0.171, -0.153, 13.303, 13.752, -0.002, 13.283, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:01,  6.601,  0.201,0,0,0, 12.900, 13.292, -0.171, -0.153, 13.303, 13.752, -0.002, 13.296, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:01,  6.800,  0.199,0,0,0, 12.900, 13.292, -0.171, -0.153, 13.303, 13.752, -0.002, 13.296, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:02,  7.001,  0.201,0,0,0, 12.900, 13.275, -0.205, -0.153, 13.303, 13.752, -0.002, 13.279, 13.308, -0.017,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:02,  7.201,  0.200,0,0,0, 12.900, 13.292, -0.171, -0.153, 13.303, 13.752, -0.002, 13.296, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:02,  7.401,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.154, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:02,  7.601,  0.200,0,0,0, 12.900, 13.284, -0.171, -0.154, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:02,  7.801,  0.200,0,0,0, 12.900, 13.284, -0.205, -0.154, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:03,  8.000,  0.199,0,0,0, 12.900, 13.288, -0.171, -0.154, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:03,  8.201,  0.201,0,0,0, 12.900, 13.297, -0.171, -0.154, 13.303, 13.752, -0.002, 13.300, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:03,  8.401,  0.200,0,0,0, 12.900, 13.267, -0.205, -0.154, 13.303, 13.752, -0.002, 13.270, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:03,  8.601,  0.200,0,0,0, 12.900, 13.297, -0.171, -0.155, 13.303, 13.752, -0.002, 13.300, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:03,  8.801,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.155, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:04,  9.001,  0.200,0,0,0, 12.900, 13.284, -0.205, -0.155, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:04,  9.200,  0.199,0,0,0, 12.900, 13.292, -0.171, -0.155, 13.303, 13.752, -0.002, 13.296, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:04,  9.401,  0.201,0,0,0, 12.900, 13.297, -0.171, -0.155, 13.303, 13.752, -0.002, 13.300, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:04,  9.601,  0.200,0,0,0, 12.900, 13.284, -0.205, -0.156, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:04,  9.801,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.156, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:05, 10.000,  0.199,0,0,0, 12.900, 13.288, -0.171, -0.156, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:05, 10.201,  0.201,0,0,0, 12.900, 13.284, -0.205, -0.156, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:05, 10.401,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.156, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:05, 10.601,  0.200,0,0,0, 12.900, 13.288, -0.171, -0.157, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:05, 10.801,  0.200,0,0,0, 12.900, 13.275, -0.171, -0.157, 13.303, 13.752, -0.002, 13.279, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:06, 11.000,  0.199,0,0,0, 12.900, 13.284, -0.171, -0.157, 13.303, 13.752, -0.002, 13.287, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:06, 11.201,  0.201,0,0,0, 12.900, 13.288, -0.171, -0.157, 13.303, 13.752, -0.002, 13.292, 13.308, -0.012,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:06, 11.401,  0.200,0,0,0, 12.900, 13.284, -0.171, -0.157, 13.303, 13.752, -0.002, 13.287, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:06, 11.601,  0.200,0,0,0, 12.900, 13.288, -0.205, -0.157, 13.303, 13.752, -0.002, 13.292, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:06, 11.801,  0.200,0,0,0, 12.900, 13.292, -0.171, -0.157, 13.303, 13.752, -0.002, 13.296, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:07, 12.000,  0.199,0,0,0, 12.900, 13.275, -0.171, -0.157, 13.303, 13.752, -0.002, 13.279, 13.308, -0.021,  0.905,  0.913,  0.905,
mon_rep230208,2023-02-08T05:51:07, 12.200,  0.200,0,0,0, 12.900, 13.288, -0.205, -0.158, 13.303, 13.752, -0.002, 13.292, 13.308, -0.021,  0.905,  0.913,  0.905,
