unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  66647245.232, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33712,   0.000,  0.000,  0.000, 18.288,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.391, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33704,   0.000,  0.000,  0.000, 18.285,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.494, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33699,   0.000,  0.000,  0.000, 18.280,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.594, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33694,   0.000,  0.000,  0.000, 18.277,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.694, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33689,   0.000,  0.000,  0.000, 18.274,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.843, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33681,   0.000,  0.000,  0.000, 18.271,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647245.941, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33676,   0.000,  0.000,  0.000, 18.266,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.041, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33671,   0.000,  0.000,  0.000, 18.263,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.141, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33666,   0.000,  0.000,  0.000, 18.260,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.241, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33661,   0.000,  0.000,  0.000, 18.257,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.341, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33656,   0.000,  0.000,  0.000, 18.254,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.441, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33651,   0.000,  0.000,  0.000, 18.251,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.541, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33646,   0.000,  0.000,  0.000, 18.248,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.641, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33641,   0.000,  0.000,  0.000, 18.245,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.741, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33636,   0.000,  0.000,  0.000, 18.242,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.841, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33631,   0.000,  0.000,  0.000, 18.239,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647246.941, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33626,   0.000,  0.000,  0.000, 18.236,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.042, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33621,   0.000,  0.000,  0.000, 18.233,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.141, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33616,   0.000,  0.000,  0.000, 18.229,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.241, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33611,   0.000,  0.000,  0.000, 18.226,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.341, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33605,   0.000,  0.000,  0.000, 18.223,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.441, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33600,   0.000,  0.000,  0.000, 18.220,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.541, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33595,   0.000,  0.000,  0.000, 18.217,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.641, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33590,   0.000,  0.000,  0.000, 18.214,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.741, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33585,   0.000,  0.000,  0.000, 18.211,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.841, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33580,   0.000,  0.000,  0.000, 18.208,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647247.941, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33575,   0.000,  0.000,  0.000, 18.205,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.042, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33570,   0.000,  0.000,  0.000, 18.202,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.141, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33565,   0.000,  0.000,  0.000, 18.199,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.242, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33560,   0.000,  0.000,  0.000, 18.196,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.341, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33555,   0.000,  0.000,  0.000, 18.193,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.441, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33550,   0.000,  0.000,  0.000, 18.190,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.541, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33545,   0.000,  0.000,  0.000, 18.186,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.641, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33540,   0.000,  0.000,  0.000, 18.183,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.741, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33535,   0.000,  0.000,  0.000, 18.180,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.841, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33530,   0.000,  0.000,  0.000, 18.177,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647248.941, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33525,   0.000,  0.000,  0.000, 18.174,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.041, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33520,   0.000,  0.000,  0.000, 18.171,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.141, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33515,   0.000,  0.000,  0.000, 18.168,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.241, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33509,   0.000,  0.000,  0.000, 18.165,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.341, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33504,   0.000,  0.000,  0.000, 18.162,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.442, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33499,   0.000,  0.000,  0.000, 18.159,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.541, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33494,   0.000,  0.000,  0.000, 18.156,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.641, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33489,   0.000,  0.000,  0.000, 18.153,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.741, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33484,   0.000,  0.000,  0.000, 18.150,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.841, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33479,   0.000,  0.000,  0.000, 18.146,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647249.941, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33474,   0.000,  0.000,  0.000, 18.143,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647250.041, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33469,   0.000,  0.000,  0.000, 18.140,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647250.141, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33464,   0.000,  0.000,  0.000, 18.137,  0,   -90000.0,   0.72222, 0, 
unit_sim,  66647250.241, 0, 0, 15.00000,15.00000, 13.76000,13.13745,0.00000,13.33459,   0.000,  0.000,  0.000, 18.134,  0,   -90000.0,   0.72222, 0, 
