unit_m,  c_time,       chm_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  71550707.041, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.167, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.269, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.369, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.469, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.618, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.717, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.817, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550707.917, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550708.017, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550708.117, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550708.217, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550708.317, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
unit_sim,  71550708.417, 1, 0, 19.18750,19.18750, 13.77675,13.15390,0.00000,13.15390,   0.000,  0.000,  0.000,  0.000,  0,  -189698.0,   0.50359, 0, 
