fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, Voc_stat, e_w_f, fltw, falw,
unit_f, 2022-11-21T09:50:53, 1669024253,   0.000,  14.430,   0.000,   0.000,  40.000,  14.430,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:03, 1669024263,   0.000,  14.414,   0.000,   0.000,  40.000,  14.414,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:14, 1669024274,   0.000,  14.401,   0.000,   0.000,  40.000,  14.401,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:24, 1669024284,   0.000,  14.388,   0.000,   0.000,  40.000,  14.388,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:34, 1669024294,   0.000,  14.377,   0.000,   0.000,  40.000,  14.377,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:44, 1669024304,   0.000,  14.368,   0.000,   0.000,  40.000,  14.368,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:52:18, 1669024338,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  1.0000,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2022-11-21T09:50:53, 1669024253,   0.000,  14.430,   0.000,   0.000,  40.000,  14.430,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:03, 1669024263,   0.000,  14.414,   0.000,   0.000,  40.000,  14.414,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:14, 1669024274,   0.000,  14.401,   0.000,   0.000,  40.000,  14.401,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:24, 1669024284,   0.000,  14.388,   0.000,   0.000,  40.000,  14.388,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:34, 1669024294,   0.000,  14.377,   0.000,   0.000,  40.000,  14.377,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:51:44, 1669024304,   0.000,  14.368,   0.000,   0.000,  40.000,  14.368,   0.000,  1.0000,  0.9999,  14.294,  14.494,   0.005, 0, 0,
unit_f, 2022-11-21T09:52:18, 1669024338,   0.000,  14.300,   0.000,   0.000,  25.000,  14.300,   0.000,  1.0000,  1.0000,  14.300,  14.500,   0.000, 0, 0,
unit_f, 2022-11-21T09:54:02, 1669024442,   0.000,  17.954,  39.778,  39.778,  25.000,  17.954,  39.778,  0.6776,  0.6454,  13.289,  13.041,   0.912, 0, 0,
unit_f, 2022-11-21T09:54:12, 1669024452,   0.000, -25.148,  15.193,  15.193,  25.000, -25.148,  15.193,  1.0000,  1.0000,  14.880,  14.730,  -0.161, 0, 0,
unit_f, 2022-11-21T09:54:22, 1669024462,   0.000,  15.560,  -7.037,  -7.037,  25.000,  15.560,  -7.037,  0.6755,  0.7105,  13.271,  13.698,  -0.472, 0, 0,
unit_f, 2022-11-21T09:54:32, 1669024472,   0.000,  -9.069,  14.025,  14.025,  25.000,  -9.069,  14.025,  0.0560,  0.0658,   8.951,   9.627,   1.593, 0, 0,
unit_f, 2022-11-21T09:54:42, 1669024482,   0.000,  -4.404,  38.608,  38.608,  25.000,  -4.404,  38.608,  0.0855,  0.0479,   9.735,   9.535,   3.020, 0, 0,
unit_f, 2022-11-21T09:54:52, 1669024492,   0.000,  16.228, -45.595, -45.595,  25.000,  16.228, -45.595,  0.7103,  0.6439,  13.127,  12.888,   0.922, 0, 0,
unit_f, 2022-11-21T09:55:03, 1669024503,   0.000, -26.114,   0.000,   0.000,  25.000, -26.114,   0.000,  1.0000,  1.0000,  13.363,  13.213,   0.174, 0, 0,
unit_f, 2022-11-21T09:54:02, 1669024442,   0.000,  17.954,  39.778,  39.778,  25.000,  17.954,  39.778,  0.6776,  0.6454,  13.289,  13.041,   0.912, 0, 0,
unit_f, 2022-11-21T09:54:12, 1669024452,   0.000, -25.148,  15.193,  15.193,  25.000, -25.148,  15.193,  1.0000,  1.0000,  14.880,  14.730,  -0.161, 0, 0,
unit_f, 2022-11-21T09:54:22, 1669024462,   0.000,  15.560,  -7.037,  -7.037,  25.000,  15.560,  -7.037,  0.6755,  0.7105,  13.271,  13.698,  -0.472, 0, 0,
unit_f, 2022-11-21T09:54:32, 1669024472,   0.000,  -9.069,  14.025,  14.025,  25.000,  -9.069,  14.025,  0.0560,  0.0658,   8.951,   9.627,   1.593, 0, 0,
unit_f, 2022-11-21T09:54:42, 1669024482,   0.000,  -4.404,  38.608,  38.608,  25.000,  -4.404,  38.608,  0.0855,  0.0479,   9.735,   9.535,   3.020, 0, 0,
unit_f, 2022-11-21T09:54:52, 1669024492,   0.000,  16.228, -45.595, -45.595,  25.000,  16.228, -45.595,  0.7103,  0.6439,  13.127,  12.888,   0.922, 0, 0,
unit_f, 2022-11-21T09:55:03, 1669024503,   0.000, -26.114,   0.000,   0.000,  25.000, -26.114,   0.000,  1.0000,  1.0000,  13.363,  13.213,   0.174, 0, 0,
