fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-02-23T09:54:50, 1677146090,  18.937,  10.648,  35.967,  50.337,  25.000,  10.648,  50.155,  0.8627,  0.8825,  13.977,  13.785,  -0.039, 0, 0,
unit_f, 2023-02-23T09:55:05, 1677146105,  18.937,  14.199, -14.825,   0.182,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:55:15, 1677146115,  18.937,  14.199, -14.825,   0.182,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:55:25, 1677146125,  18.937,  14.199, -14.457,   0.092,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:55:35, 1677146135,  18.937,  14.199, -14.423,  -0.085,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:55:45, 1677146145,  18.937,  14.199, -14.188,   0.003,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:55:55, 1677146155,  18.937,  14.199, -13.988,   0.092,  25.000,  14.199,   0.000,  1.0000,  0.9999,  14.199,  14.500,   0.000, 0, 0,
unit_f, 2023-02-23T09:57:41, 1677146261,  18.937,  -4.938,  -6.348,   7.565,  25.000,  -4.938,   7.473,  1.0000,  0.8842,  14.988,  15.048,   0.957, 0, 0,
unit_f, 2023-02-23T09:57:51, 1677146271,  18.937,  -3.381, -10.047,   3.857,  25.000,  -3.381,   3.942,  0.9979,  1.0000,  15.812,  15.872,  -0.757, 0, 0,
unit_f, 2023-02-23T09:58:01, 1677146281,  18.937,  -5.915, -22.303,  -8.700,  25.000,  -5.915,  -8.348,  0.8024,  0.7859,  14.868,  14.928,  -1.551, 0, 0,
unit_f, 2023-02-23T09:58:12, 1677146292,  18.937,   6.874,  -2.248,  12.200,  25.000,   6.874,  11.840,  0.5330,  0.5048,  11.498,  11.557,   1.274, 0, 0,
unit_f, 2023-02-23T09:58:22, 1677146302,  18.937,   8.887,  10.108,  24.490,  25.000,   8.887,  24.130,  1.0000,  0.5537,  11.652,  11.713,   2.718, 0, 0,
unit_f, 2023-02-23T09:58:32, 1677146312,  18.937, -11.452, -41.853, -27.450,  25.000, -11.452, -27.632,  1.0000,  0.8811,  14.988,  15.047,   0.833, 0, 0,
unit_f, 2023-02-23T09:58:42, 1677146322,  18.937,  14.788, -14.022,  -0.085,  25.000,  14.788,   0.000,  1.0000,  0.9983,  14.217,  14.277,  -0.210, 0, 0,
