fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 1970-01-01T00:34:46, 2086,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:34:55, 2095,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:35:04, 2104,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:35:14, 2114,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:35:23, 2123,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:35:33, 2133,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:35:42, 2142,   0.000,  11.000,   0.000,   0.000,  25.000,  11.000,   0.000,  0.0500,  0.0499,  11.000,  11.000,   0.000, 0, 0,
unit_f, 1970-01-01T00:37:25, 2245,  20.250,   5.924, -23.607, -23.253,  25.000,   5.924, -24.107,  1.0000,  0.7884,  14.504,  14.804,   0.925, 0, 0,
unit_f, 1970-01-01T00:37:34, 2254,  20.250,   7.023, -30.950, -30.593,  25.000,   7.023, -31.153,  0.9981,  0.9955,  15.086,  15.386,  -0.837, 0, 0,
unit_f, 1970-01-01T00:37:44, 2264,  20.250,   3.889,  51.692,  51.750,  25.000,   3.889,  51.133,  0.6141,  0.5669,  13.768,  14.068,  -0.992, 0, 0,
unit_f, 1970-01-01T00:37:53, 2273,  20.250,  16.768, -46.068, -45.597,  25.000,  16.768, -46.508,  0.0294,  0.0236,   6.726,   7.026,   1.133, 0, 0,
unit_f, 1970-01-01T00:38:03, 2283,  20.250,  24.280, -21.530, -21.175,  25.000,  24.280, -21.912,  1.0000,  0.1299,  11.888,  12.188,   4.522, 0, 0,
unit_f, 1970-01-01T00:38:12, 2292,  20.250,   1.577,  15.388,  15.505,  25.000,   1.577,  14.947,  1.0000,  0.7895,  14.521,  14.821,   0.807, 0, 0,
unit_f, 1970-01-01T00:38:22, 2302,  20.250,  14.957,   0.975,   0.558,  25.000,  14.957,   0.000,  1.0000,  1.0000,  14.201,  14.501,  -0.590, 0, 0,
