unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro0p_20230219, 2023-03-07T22:54:47,  75986858.212, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:47,  75986858.312, 0.103,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.415, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.515, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.615, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.715, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.815, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986858.915, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986859.015, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986859.115, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986859.215, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:48,  75986859.315, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.415, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.515, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.615, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.715, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.815, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986859.915, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986860.015, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986860.115, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986860.215, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:49,  75986860.315, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.415, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.515, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.615, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.715, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.815, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986860.915, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986861.015, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986861.115, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986861.215, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:50,  75986861.315, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:51,  75986861.415, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
pro0p_20230219, 2023-03-07T22:54:51,  75986861.515, 0.100,   1,  405720, 0,  1,  247,  0, 25.0,13.152,     0.000,     0.000,     0.000,13.15200,    13.80000,0.00000,13.15200,13.15200,   0.000000, 0.50000,0.50000,0.50000,
