unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  75986858.212, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.312, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.415, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.515, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.615, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.715, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.815, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986858.915, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986859.015, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
unit_sim,  75986859.115, 1,  405720, 0, 25.00000,25.00000, 13.80000,13.15200,0.00000,13.15200,   0.000,  0.000,  0.000,  0.000,  0,  -202860.0,   0.50000, 0, 
