unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  Vb,  Ib,  ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
mon_rep221127,2022-11-27T11:09:55,  0.000,  0.099,1,0,0, 10.400, 14.404,  0.332,-16.202, 14.459, 13.742,  0.001, 14.603, 14.459,  0.144,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.099,  0.099,1,0,0, 10.400, 14.408,  0.265,-16.212, 14.459, 13.742,  0.004, 14.604, 14.459,  0.145,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.199,  0.100,1,0,0, 10.400, 14.395,  0.265,-16.215, 14.459, 13.742,  0.003, 14.592, 14.459,  0.133,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.299,  0.100,1,0,0, 10.400, 14.386,  0.265,-16.228, 14.459, 13.742,  0.003, 14.583, 14.459,  0.124,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.400,  0.101,1,0,0, 10.400, 14.378,  0.265,-16.208, 14.459, 13.742,  0.003, 14.574, 14.459,  0.116,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.499,  0.099,1,0,0, 10.400, 14.378,  0.265,-16.207, 14.459, 13.742,  0.003, 14.574, 14.459,  0.116,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.600,  0.101,1,0,0, 10.400, 14.395,  0.198,-16.215, 14.459, 13.742,  0.003, 14.592, 14.459,  0.133,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.700,  0.100,1,0,0, 10.400, 14.412,  0.198,-16.222, 14.459, 13.742,  0.002, 14.610, 14.459,  0.151,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.799,  0.099,1,0,0, 10.400, 14.399,  0.265,-16.225, 14.459, 13.742,  0.003, 14.597, 14.459,  0.138,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  0.899,  0.100,1,0,0, 10.400, 14.386,  0.265,-16.227, 14.459, 13.742,  0.003, 14.583, 14.459,  0.124,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:56,  1.000,  0.101,1,0,0, 10.400, 14.382,  0.265,-16.218, 14.459, 13.742,  0.003, 14.579, 14.459,  0.120,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:57,  1.100,  0.100,1,0,0, 10.400, 14.382,  0.265,-16.216, 14.459, 13.742,  0.003, 14.579, 14.459,  0.120,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:57,  1.200,  0.100,1,0,0, 10.400, 14.395,  0.265,-16.216, 14.459, 13.742,  0.003, 14.592, 14.459,  0.120,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:57,  1.300,  0.100,1,0,0, 10.400, 14.395,  0.265,-16.216, 14.459, 13.742,  0.003, 14.592, 14.459,  0.120,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:57,  1.400,  0.100,1,0,0, 10.400, 14.404,  0.265,-16.216, 14.459, 13.742,  0.003, 14.600, 14.459,  0.120,  1.000,  1.000,  1.000,
mon_rep221127,2022-11-27T11:09:57,  1.499,  0.099,1,0,0, 10.400, 14.395,  0.265,-16.216, 14.459, 13.742,  0.003, 14.592, 14.459,  0.120,  1.000,  1.000,  1.000,
